code,name,year_founded
601038,一拖股份,1997
603006,联明股份,2003
002064,华峰氨纶,1999
002700,新疆浩源,2006
000793,华闻传媒,1991
002683,宏大爆破,1988
600520,文一科技,2000
002708,光洋股份,1994
000723,美锦能源,1996
002565,顺灏股份,2004
002486,嘉麟杰,2001
002170,芭田股份,2001
000702,正虹科技,1997
300037,新宙邦,2002
000545,金浦钛业,1989
000652,泰达股份,1992
300240,飞力达,1993
600704,物产中大,1992
002495,佳隆股份,2001
002625,光启技术,2001
600409,三友化工,1999
300070,碧水源,2001
300258,精锻科技,1992
600452,涪陵电力,1999
002138,顺络电子,2000
600825,新华传媒,1992
900903,大众B股,1992
600426,华鲁恒升,2000
900901,云赛B股,1987
000837,秦川机床,1998
002487,大金重工,2003
002561,徐家汇,2002
900922,三毛B股,1993
600231,凌钢股份,1994
300040,九洲电气,2000
002222,福晶科技,2001
002491,通鼎互联,1999
002151,北斗星通,2000
300331,苏大维格,2001
300019,硅宝科技,1998
300002,神州泰岳,2001
002393,力生制药,2001
000915,山大华特,1993
002045,国光电器,1993
000089,深圳机场,1998
000619,海螺型材,1996
000826,启迪桑德,1993
002712,思美传媒,2000
600137,浪莎股份,1996
300155,安居宝,2004
600698,湖南天雁,1993
600370,三房巷,1994
600400,红豆股份,1995
002032,苏泊尔,1998
600309,万华化学,1998
300385,雪浪环境,2001
002219,恒康医疗,2001
000858,五粮液,1998
000066,中国长城,1997
601005,重庆钢铁,1997
000732,泰禾集团,1992
600519,贵州茅台,1999
002278,神开股份,1993
002319,乐通股份,1996
600391,航发科技,1999
600105,永鼎股份,1994
600854,春兰股份,1988
600021,上海电力,1998
300248,新开普,2000
002304,洋河股份,2002
002206,海利得,2001
000691,亚太实业,1992
300247,乐金健康,1995
200761,本钢板B,1997
002662,京威股份,2002
603009,北特科技,2002
002192,融捷股份,1998
000680,山推股份,1993
000027,深圳能源,1993
600092,S*ST精密,1992
000501,鄂武商A,1991
601777,力帆股份,1997
002429,兆驰股份,2005
002365,永安药业,2001
900933,华新B股,1993
600523,贵航股份,1999
300736,百华悦邦,2007
000665,湖北广电,1988
600343,航天动力,1999
600555,海航创新,1999
000705,浙江震元,1993
600396,金山股份,1998
002729,好利来,1992
002328,新朋股份,1997
603355,莱克电气,2001
200418,小天鹅B,1993
000023,深天地A,1984
002027,分众传媒,1997
600491,龙元建设,1998
300235,方直科技,1993
601002,晋亿实业,1995
600269,赣粤高速,1998
600852,*ST中川,1994
900911,金桥B股,1992
300102,乾照光电,2006
002347,泰尔股份,2001
600323,瀚蓝环境,1992
002544,杰赛科技,1994
000407,胜利股份,1994
002223,鱼跃医疗,1998
600461,洪城水业,2001
300365,恒华科技,2000
002067,景兴纸业,2001
000990,诚志股份,1998
002109,兴化股份,1997
000568,泸州老窖,1994
002470,金正大,1998
300300,汉鼎宇佑,2002
300458,全志科技,2007
600548,深高速,1996
300335,迪森股份,1996
600186,莲花健康,1998
000488,晨鸣纸业,1993
002647,民盛金科,1998
300450,先导智能,2002
000603,盛达矿业,1994
601311,骆驼股份,1994
600143,金发科技,1993
300349,金卡智能,2004
002609,捷顺科技,1992
002466,天齐锂业,1995
002447,晨鑫科技,2001
600814,杭州解百,1992
300256,星星科技,2003
600751,海航科技,1992
002404,嘉欣丝绸,1993
600300,维维股份,1999
002717,岭南股份,1998
300208,恒顺众昇,1998
002367,康力电梯,1997
002015,霞客环保,2000
000731,四川美丰,1994
601288,农业银行,1979
600110,诺德股份,1994
002370,亚太药业,2001
600681,百川能源,1992
002177,御银股份,2001
300236,上海新阳,2004
900953,凯马B,1998
600267,海正药业,1998
600305,恒顺醋业,1993
300382,斯莱克,2004
300457,赢合科技,2006
300389,艾比森,2001
002593,日上集团,1995
300224,正海磁材,2000
601139,深圳燃气,1996
000418,小天鹅A,1993
601116,三江购物,1995
600640,号百控股,1992
600635,大众公用,1991
300018,中元股份,2001
002537,海联金汇,2004
603126,中材节能,1998
000692,惠天热电,1993
300297,蓝盾股份,1999
900955,海创B股,1999
002385,大北农,1994
600082,海泰发展,1992
000932,华菱钢铁,1999
600171,上海贝岭,1998
900939,汇丽B,1996
300459,金科文化,2007
002018,*ST华信,1998
000998,隆平高科,1999
600535,天士力,1998
601599,鹿港文化,2002
300726,宏达电子,1993
002499,科林环保,1999
002224,三力士,2002
300014,亿纬锂能,2001
002380,科远股份,1993
002410,广联达,2007
002627,宜昌交运,1998
300048,合康新能,2003
002509,天广中茂,1986
300402,宝色股份,1994
600229,城市传媒,1994
002250,联化科技,2001
002614,奥佳华,1996
000556,PT南洋,1992
600550,保变电气,1999
601515,东风股份,1983
600326,西藏天路,1999
000042,中洲控股,1994
000668,荣丰控股,1988
300230,永利股份,2002
002150,通润装备,2002
002689,远大智能,2001
002308,威创股份,2002
000950,*ST建峰,1999
300076,GQY视讯,2001
002269,美邦服饰,2000
600379,宝光股份,1997
002749,国光股份,1985
300289,利德曼,1997
000570,苏常柴A,1994
000952,广济药业,1993
300383,光环新网,1999
300115,长盈精密,2001
600622,光大嘉宝,1992
002264,新华都,2007
600371,万向德农,1995
600292,远达环保,1994
002026,山东威达,1998
300246,宝莱特,1993
600470,六国化工,2000
601717,郑煤机,2002
000498,山东路桥,1993
601018,宁波港,2008
002496,辉丰股份,1999
000014,沙河股份,1991
000890,法尔胜,1993
300231,银信科技,2004
002446,盛路通信,1998
000551,创元科技,1993
002579,中京电子,2000
002501,利源精制,2001
600533,栖霞建设,1999
002040,南京港,2001
600212,江泉实业,1992
600270,外运发展,1999
600302,标准股份,1999
002387,维信诺,1998
600614,鹏起科技,1992
000666,经纬纺机,1995
002216,三全食品,1993
002332,仙琚制药,2000
600538,国发股份,1993
603123,翠微股份,2003
300410,正业科技,1997
600205,S山东铝,
601558,ST锐电,2006
600106,重庆路桥,1997
000761,本钢板材,1997
002471,中超控股,1996
300122,智飞生物,1995
600210,紫江企业,1999
603199,九华旅游,2000
002480,新筑股份,2001
600087,退市长油,1993
